"","cluster","Accession","Protein","SL_GOIs","Gene"
"Zm00001d047502_T001",5,"Zm00001d047502_T001","DEAD-box ATP-dependent RNA helicase 35","Other","Zm00001d047502"
"Zm00001d054049_T001",5,"Zm00001d054049_T001","B6TK60]","Other","Zm00001d054049"
"Zm00001d016041_T001",5,"Zm00001d016041_T001","Reticulon-like protein B4","Other","Zm00001d016041"
"Zm00001d006167_T003",5,"Zm00001d006167_T003","P-loop containing nucleoside triphosphate hydrolases superfamily protein","Other","Zm00001d006167"
"Zm00001d034768_T001",5,"Zm00001d034768_T001","Glycine-rich RNA-binding protein RZ1A","Other","Zm00001d034768"
"Zm00001d006125_T001",5,"Zm00001d006125_T001","Proteasome subunit beta type  ","Other","Zm00001d006125"
"Zm00001d048890_T003",5,"Zm00001d048890_T003","Acyl-coenzyme A oxidase  ","Other","Zm00001d048890"
"Zm00001d042287_T001",5,"Zm00001d042287_T001","CDC5 protein  ","Other","Zm00001d042287"
"Zm00001d020506_T001",5,"Zm00001d020506_T001","26S proteasome non-ATPase regulatory subunit 9  ","Other","Zm00001d020506"
"Zm00001d011855_T001",5,"Zm00001d011855_T001","Probable ADP-ribosylation factor GTPase-activating protein AGD11","Other","Zm00001d011855"
"Zm00001d037163_T002",5,"Zm00001d037163_T002","Transmembrane emp24 domain-containing protein p24delta4","Other","Zm00001d037163"
"Zm00001d024028_T001",5,"Zm00001d024028_T001"," blue fluorescent2",NA,"Zm00001d024028"
"Zm00001d003106_T001",5,"Zm00001d003106_T001","Polyadenylate-binding protein 2  ",NA,"Zm00001d003106"
"Zm00001d015228_T002",5,"Zm00001d015228_T002","Protein arginine N-methyltransferase 1.5","Other","Zm00001d015228"
"Zm00001d031332_T007",5,"Zm00001d031332_T007","Heat shock protein 90-2","Other","Zm00001d031332"
"Zm00001d023682_T007",5,"Zm00001d023682_T007","ABC transporter F family member 1",NA,"Zm00001d023682"
"Zm00001d011965_T001",5,"Zm00001d011965_T001","Aldolase-type TIM barrel family protein","Other","Zm00001d011965"
"Zm00001d045448_T003",5,"Zm00001d045448_T003","40S ribosomal protein S20-1","Cytosolic ribosome","Zm00001d045448"
"Zm00001d032608_T001",5,"Zm00001d032608_T001"," alpha-galactosidase1","Other","Zm00001d032608"
"Zm00001d053776_T004",5,"Zm00001d053776_T004","Succinate-semialdehyde dehydrogenase mitochondrial","Other","Zm00001d053776"
"Zm00001d009023_T001",5,"Zm00001d009023_T001","Nucleic acid-binding OB-fold-like protein","Other","Zm00001d009023"
"Zm00001d002130_T001",5,"Zm00001d002130_T001","protein_coding","Other","Zm00001d002130"
"Zm00001d020642_T001",5,"Zm00001d020642_T001","Serine carboxypeptidase-like 49","Other","Zm00001d020642"
"Zm00001d053196_T001",5,"Zm00001d053196_T001","Proline--tRNA ligase cytoplasmic","Other","Zm00001d053196"
"Zm00001d020799_T006",5,"Zm00001d020799_T006"," isoamylase-type starch debranching enzyme3","Other","Zm00001d020799"
"Zm00001d042868_T002",5,"Zm00001d042868_T002","Aldo-keto reductase family 4 member C9",NA,"Zm00001d042868"
"Zm00001d009723_T001",5,"Zm00001d009723_T001"," plastid transcriptionally active14","Other","Zm00001d009723"
"Zm00001d011891_T001",5,"Zm00001d011891_T001","S-formylglutathione hydrolase","PhANGs","Zm00001d011891"
"Zm00001d049046_T002",5,"Zm00001d049046_T002","Protein kinase superfamily protein","Other","Zm00001d049046"
"Zm00001d000123_T003",5,"Zm00001d000123_T003","NAD(P)-binding Rossmann-fold superfamily protein","Other","Zm00001d000123"
"Zm00001d003470_T001",5,"Zm00001d003470_T001","Probable plastid-lipid-associated protein 2 chloroplastic","Other","Zm00001d003470"
"Zm00001d027511_T001",5,"Zm00001d027511_T001","Catalase isozyme 2  ","Other","Zm00001d027511"
"Zm00001d012812_T004",5,"Zm00001d012812_T004","Pentatricopeptide repeat-containing protein ",NA,"Zm00001d012812"
"Zm00001d031963_T001",5,"Zm00001d031963_T001","Low molecular weight protein-tyrosine-phosphatase slr0328  ","Other","Zm00001d031963"
"Zm00001d053715_T001",5,"Zm00001d053715_T001","UDP-glycosyltransferase 84A1","Other","Zm00001d053715"
"Zm00001d020808_T002",5,"Zm00001d020808_T002","Peroxidase 17","Other","Zm00001d020808"
"Zm00001d012339_T001",5,"Zm00001d012339_T001","protein_coding","Other","Zm00001d012339"
"Zm00001d025801_T010",5,"Zm00001d025801_T010","Polyadenylate-binding protein 2",NA,"Zm00001d025801"
"Zm00001d016854_T001",5,"Zm00001d016854_T001","Ferrochelatase  ","Other","Zm00001d016854"
"Zm00001d018946_T002",5,"Zm00001d018946_T002","Bifunctional coenzyme A synthase  ",NA,"Zm00001d018946"
"Zm00001d021119_T001",5,"Zm00001d021119_T001","Beta-glucosidase 11","Other","Zm00001d021119"
"Zm00001d015985_T005",5,"Zm00001d015985_T005","Probable tocopherol cyclase%2C chloroplastic  ","Other","Zm00001d015985"
"Zm00001d053900_T002",5,"Zm00001d053900_T002","Bifunctional protein FolD 4 chloroplastic",NA,"Zm00001d053900"
"Zm00001d018358_T001",5,"Zm00001d018358_T001","Protein TIC 55 chloroplastic","Other","Zm00001d018358"
"Zm00001d010321_T003",5,"Zm00001d010321_T003"," pyruvate orthophosphate dikinase2",NA,"Zm00001d010321"
"Zm00001d007422_T002",5,"Zm00001d007422_T002","aminopeptidase P1",NA,"Zm00001d007422"
"Zm00001d022124_T001",5,"Zm00001d022124_T001","60S ribosomal protein L27a-3","Cytosolic ribosome","Zm00001d022124"
"Zm00001d009990_T001",5,"Zm00001d009990_T001","Superoxide dismutase ","Other","Zm00001d009990"
"Zm00001d041407_T005",5,"Zm00001d041407_T005","Pyridoxal kinase  ",NA,"Zm00001d041407"
"ZemaCp057.1",5,"ZemaCp057.1","infA","Other","ZemaCp057.1"
"Zm00001d006871_T001",5,"Zm00001d006871_T001","40S ribosomal protein Sa-1","Cytosolic ribosome","Zm00001d006871"
"Zm00001d019895_T001",5,"Zm00001d019895_T001","Major pollen allergen Car b 1 isoforms 1A and 1B  ","Other","Zm00001d019895"
"Zm00001d022418_T002",5,"Zm00001d022418_T002","Retrovirus-related Pol polyprotein LINE-1","Other","Zm00001d022418"
"Zm00001d003513_T001",5,"Zm00001d003513_T001"," zeaxanthin epoxidase1","Other","Zm00001d003513"
"Zm00001d040163_T002",5,"Zm00001d040163_T002"," deoxy xylulose reductoisomerase1","Other","Zm00001d040163"
"Zm00001d015135_T001",5,"Zm00001d015135_T001","Anthranilate phosphoribosyltransferase","Other","Zm00001d015135"
"Zm00001d012878_T001",5,"Zm00001d012878_T001"," ribosomal protein S4","Other","Zm00001d012878"
"Zm00001d039542_T001",5,"Zm00001d039542_T001","Phospholipase A1-Igamma1 chloroplastic","Other","Zm00001d039542"
"Zm00001d029012_T003",5,"Zm00001d029012_T003","Leucine-rich repeat protein kinase family protein","Other","Zm00001d029012"
"Zm00001d017381_T001",5,"Zm00001d017381_T001","(+)-neomenthol dehydrogenase","Other","Zm00001d017381"
"Zm00001d028477_T003",5,"Zm00001d028477_T003","Chorismate synthase chloroplastic","Other","Zm00001d028477"
"Zm00001d037318_T001",5,"Zm00001d037318_T001","Putative AMP-dependent synthetase and ligase superfamily protein  ","Other","Zm00001d037318"
"Zm00001d013664_T005",5,"Zm00001d013664_T005","5'-nucleotidases;magnesium ion binding",NA,"Zm00001d013664"
"Zm00001d025470_T002",5,"Zm00001d025470_T002","protein_coding","Other","Zm00001d025470"
"Zm00001d015065_T007",5,"Zm00001d015065_T007","protein_coding",NA,"Zm00001d015065"
"Zm00001d029238_T001",5,"Zm00001d029238_T001","Peptide methionine sulfoxide reductase B5","Other","Zm00001d029238"
"Zm00001d044340_T001",5,"Zm00001d044340_T001"," aldehyde dehydrogenase5","Other","Zm00001d044340"
"Zm00001d042869_T001",5,"Zm00001d042869_T001","Aldose reductase  ","Other","Zm00001d042869"
"Zm00001d020603_T004",5,"Zm00001d020603_T004","Eukaryotic initiation factor 4F subunit p150 isoform 1","Other","Zm00001d020603"
"Zm00001d044730_T001",5,"Zm00001d044730_T001","Probable peroxygenase 4","Other","Zm00001d044730"
"Zm00001d007908_T001",5,"Zm00001d007908_T001","Probable carboxylesterase 15","Other","Zm00001d007908"
"Zm00001d011093_T001",5,"Zm00001d011093_T001","protein_coding","Other","Zm00001d011093"
"Zm00001d012980_T001",5,"Zm00001d012980_T001","NAD(P)-binding Rossmann-fold superfamily protein","Other","Zm00001d012980"
"Zm00001d006683_T001",5,"Zm00001d006683_T001","UDP-glycosyltransferase 78D2","Other","Zm00001d006683"
"Zm00001d039415_T001",5,"Zm00001d039415_T001","Lecithin-cholesterol acyltransferase-like 1","Other","Zm00001d039415"
"Zm00001d032455_T001",5,"Zm00001d032455_T001","Electron transfer flavoprotein-ubiquinone oxidoreductase mitochondrial","Other","Zm00001d032455"
"Zm00001d051211_T004",5,"Zm00001d051211_T004","Proteasome subunit alpha type  ",NA,"Zm00001d051211"
"Zm00001d010126_T007",5,"Zm00001d010126_T007","Arginyl-tRNA--protein transferase 1  ",NA,"Zm00001d010126"
"Zm00001d021421_T002",5,"Zm00001d021421_T002"," UDP-glucose pyrophosphorylase2","Other","Zm00001d021421"
"Zm00001d049409_T003",5,"Zm00001d049409_T003"," aconitase1",NA,"Zm00001d049409"
"Zm00001d025657_T001",5,"Zm00001d025657_T001","Monothiol glutaredoxin-S15 mitochondrial","Other","Zm00001d025657"
"Zm00001d022239_T001",5,"Zm00001d022239_T001","VH1-interacting kinase","Other","Zm00001d022239"
"Zm00001d046449_T003",5,"Zm00001d046449_T003"," elongation factor 1-alpha9","Other","Zm00001d046449"
"Zm00001d007032_T002",5,"Zm00001d007032_T002","protein_coding",NA,"Zm00001d007032"
"Zm00001d002261_T003",5,"Zm00001d002261_T003","Peroxisomal (S)-2-hydroxy-acid oxidase GLO1","Other","Zm00001d002261"
"Zm00001d006868_T003",5,"Zm00001d006868_T003","Peroxisomal (S)-2-hydroxy-acid oxidase GLO4","Other","Zm00001d006868"
"Zm00001d027731_T008",5,"Zm00001d027731_T008","evolutionarily conserved C-terminal region 2",NA,"Zm00001d027731"
"Zm00001d049042_T001",5,"Zm00001d049042_T001","Methylthioribose-1-phosphate isomerase  ","Other","Zm00001d049042"
"Zm00001d031132_T001",5,"Zm00001d031132_T001","Copper transport protein ATX1","Other","Zm00001d031132"
"Zm00001d019287_T001",5,"Zm00001d019287_T001","Protein transport protein SEC13 homolog B","Other","Zm00001d019287"
"Zm00001d040257_T005",5,"Zm00001d040257_T005","T-complex protein 1 subunit beta",NA,"Zm00001d040257"
"Zm00001d018694_T001",5,"Zm00001d018694_T001","T-complex protein 1 subunit epsilon","Other","Zm00001d018694"
"Zm00001d007075_T004",5,"Zm00001d007075_T004","Protein transport protein SEC31 homolog B",NA,"Zm00001d007075"
"Zm00001d048149_T002",5,"Zm00001d048149_T002","Mitochondrial outer membrane protein porin 2","Other","Zm00001d048149"
"Zm00001d012395_T001",5,"Zm00001d012395_T001","Mannose-1-phosphate guanylyltransferase 1","Other","Zm00001d012395"
"Zm00001d004429_T001",5,"Zm00001d004429_T001","Thiosulfate/3-mercaptopyruvate sulfurtransferase 1 mitochondrial","Other","Zm00001d004429"
"Zm00001d013391_T026",5,"Zm00001d013391_T026","SWI/SNF complex subunit SWI3D",NA,"Zm00001d013391"
"Zm00001d053881_T001",5,"Zm00001d053881_T001","26S proteasome non-ATPase regulatory subunit 2 homolog A","Other","Zm00001d053881"
"Zm00001d053432_T001",5,"Zm00001d053432_T001"," iron-sulfur protein2","PhANGs","Zm00001d053432"
"Zm00001d032736_T001",5,"Zm00001d032736_T001","Cyanate hydratase  ","Other","Zm00001d032736"
"Zm00001d044195_T017",5,"Zm00001d044195_T017","Polypyrimidine tract-binding protein homolog 2",NA,"Zm00001d044195"
"Zm00001d043601_T002",5,"Zm00001d043601_T002"," NADP-dependent malic enzyme6","Other","Zm00001d043601"
"Zm00001d025845_T001",5,"Zm00001d025845_T001","protein_coding","Other","Zm00001d025845"
"Zm00001d019034_T001",5,"Zm00001d019034_T001"," thioredoxin h homolog2","Other","Zm00001d019034"
"Zm00001d002873_T001",5,"Zm00001d002873_T001","UPF0426 protein  chloroplastic","Other","Zm00001d002873"
"Zm00001d047128_T002",5,"Zm00001d047128_T002"," MureinE1","Other","Zm00001d047128"
"Zm00001d045538_T001",5,"Zm00001d045538_T001","Superoxide dismutase  ","Other","Zm00001d045538"
"Zm00001d032148_T001",5,"Zm00001d032148_T001"," hydroxycinnamoyltransferase9","Other","Zm00001d032148"
"Zm00001d041697_T001",5,"Zm00001d041697_T001","Cofactor-independent phosphoglycerate mutase","Other","Zm00001d041697"
"Zm00001d045954_T005",5,"Zm00001d045954_T005","G patch domain-containing protein TGH",NA,"Zm00001d045954"
"Zm00001d032790_T003",5,"Zm00001d032790_T003","plastid transcriptionally active 3","Other","Zm00001d032790"
"Zm00001d053968_T001",5,"Zm00001d053968_T001","RuvB-like protein 1",NA,"Zm00001d053968"
"Zm00001d043955_T001",5,"Zm00001d043955_T001","Eukaryotic translation initiation factor 3 subunit D","Other","Zm00001d043955"
"Zm00001d050033_T003",5,"Zm00001d050033_T003","Whole genome shotgun sequence of line PN40024 scaffold_57.assembly12x (Fragment)",NA,"Zm00001d050033"
"Zm00001d019059_T002",5,"Zm00001d019059_T002","protein_coding",NA,"Zm00001d019059"
"Zm00001d010128_T001",5,"Zm00001d010128_T001"," acidic ribosomal protein P2b (rpp2b)","Other","Zm00001d010128"
"Zm00001d031740_T001",5,"Zm00001d031740_T001","Activator of 90 kDa heat shock protein ATPase  ","Other","Zm00001d031740"
"Zm00001d012599_T001",5,"Zm00001d012599_T001","F1F0-ATPase inhibitor protein;  protein","Other","Zm00001d012599"
"Zm00001d042289_T001",5,"Zm00001d042289_T001","Rieske domain containing protein  ","Other","Zm00001d042289"
"Zm00001d000164_T001",5,"Zm00001d000164_T001","Phosphoribulokinase chloroplastic","Other","Zm00001d000164"
"Zm00001d018481_T032",5,"Zm00001d018481_T032"," myosin2",NA,"Zm00001d018481"
"Zm00001d042808_T001",5,"Zm00001d042808_T001","Pleckstrin homology domain-containing protein 1","Other","Zm00001d042808"
"Zm00001d015570_T005",5,"Zm00001d015570_T005","Sucrose-phosphate synthase 1",NA,"Zm00001d015570"
"Zm00001d041763_T001",5,"Zm00001d041763_T001","Cytokinin-O-glucosyltransferase 2  ","Other","Zm00001d041763"
"Zm00001d012036_T001",5,"Zm00001d012036_T001","Sucrose-phosphate synthase  ","Other","Zm00001d012036"
"Zm00001d034739_T001",5,"Zm00001d034739_T001","Fumarylacetoacetate (FAA) hydrolase family","Other","Zm00001d034739"
"Zm00001d031891_T001",5,"Zm00001d031891_T001","Peptidase M1 family protein","Other","Zm00001d031891"
"Zm00001d053923_T003",5,"Zm00001d053923_T003","Protein ACCUMULATION AND REPLICATION OF CHLOROPLASTS 6 chloroplastic","Other","Zm00001d053923"
"Zm00001d053177_T001",5,"Zm00001d053177_T001","Actin-7","Other","Zm00001d053177"
"Zm00001d018147_T002",5,"Zm00001d018147_T002","Phenylalanine--tRNA ligase alpha subunit cytoplasmic","Other","Zm00001d018147"
"Zm00001d047296_T001",5,"Zm00001d047296_T001","40S ribosomal protein S19-3","Cytosolic ribosome","Zm00001d047296"
"Zm00001d006008_T001",5,"Zm00001d006008_T001","Heat shock protein 90-2","Other","Zm00001d006008"
"Zm00001d019147_T001",5,"Zm00001d019147_T001","40S ribosomal protein S2  ","Cytosolic ribosome","Zm00001d019147"
"Zm00001d005762_T001",5,"Zm00001d005762_T001","alpha/beta-Hydrolases superfamily protein","Other","Zm00001d005762"
"Zm00001d045160_T001",5,"Zm00001d045160_T001","Sulfiredoxin chloroplastic/mitochondrial","Other","Zm00001d045160"
"ZemaCp054.1",5,"ZemaCp054.1","rpoA","Other","ZemaCp054.1"
"Zm00001d032222_T001",5,"Zm00001d032222_T001","UDP-glycosyltransferase 85A7","Other","Zm00001d032222"
"Zm00001d017850_T001",5,"Zm00001d017850_T001","60S ribosomal protein L31  ","Cytosolic ribosome","Zm00001d017850"
"Zm00001d039664_T002",5,"Zm00001d039664_T002","Retrovirus-related Pol polyprotein LINE-1",NA,"Zm00001d039664"
"Zm00001d034771_T001",5,"Zm00001d034771_T001","Elongation factor 2","Other","Zm00001d034771"
"Zm00001d010799_T001",5,"Zm00001d010799_T001","protein_coding","Other","Zm00001d010799"
"Zm00001d028373_T001",5,"Zm00001d028373_T001"," translocon of outer membrane of chloroplast35","Other","Zm00001d028373"
"Zm00001d025819_T001",5,"Zm00001d025819_T001","2-phytyl-14-beta-naphthoquinone methyltransferase chloroplastic","Other","Zm00001d025819"
"Zm00001d021340_T001",5,"Zm00001d021340_T001","protein_coding","Other","Zm00001d021340"
"Zm00001d013507_T001",5,"Zm00001d013507_T001","Heat shock 70 kDa protein 6 chloroplastic","Other","Zm00001d013507"
"Zm00001d018470_T001",5,"Zm00001d018470_T001","Carboxyl-terminal-processing peptidase 2 chloroplastic","Other","Zm00001d018470"
"Zm00001d021764_T006",5,"Zm00001d021764_T006","Protein THYLAKOID FORMATION 1 chloroplastic",NA,"Zm00001d021764"
"Zm00001d008497_T002",5,"Zm00001d008497_T002","Leucine--tRNA ligase chloroplastic/mitochondrial",NA,"Zm00001d008497"
"Zm00001d002384_T001",5,"Zm00001d002384_T001","PAP fibrillin family protein  ","Other","Zm00001d002384"
"Zm00001d011680_T001",5,"Zm00001d011680_T001","RNA polymerase II transcriptional coactivator KELP","Other","Zm00001d011680"
"Zm00001d042530_T003",5,"Zm00001d042530_T003","Membrane-associated protein VIPP1 chloroplastic","Other","Zm00001d042530"
"Zm00001d029455_T001",5,"Zm00001d029455_T001","Ubiquinone biosynthesis protein COQ9 mitochondrial","Other","Zm00001d029455"
"Zm00001d016294_T001",5,"Zm00001d016294_T001","Abscisic acid receptor PYL2","Other","Zm00001d016294"
"Zm00001d025893_T004",5,"Zm00001d025893_T004","Phosphoenolpyruvate carboxylase family protein",NA,"Zm00001d025893"
"Zm00001d045675_T003",5,"Zm00001d045675_T003"," asparagine synthetase1","Other","Zm00001d045675"
"Zm00001d028762_T008",5,"Zm00001d028762_T008","6-phosphofructo-2-kinase/fructose-26-bisphosphatase",NA,"Zm00001d028762"
"Zm00001d044869_T002",5,"Zm00001d044869_T002","Polyadenylate-binding protein 3","Other","Zm00001d044869"
"Zm00001d036738_T001",5,"Zm00001d036738_T001","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","Other","Zm00001d036738"
"Zm00001d044836_T001",5,"Zm00001d044836_T001","Transcription factor TCP14","Other","Zm00001d044836"
"Zm00001d011401_T001",5,"Zm00001d011401_T001","Protein SGT1 homolog A","Other","Zm00001d011401"
"Zm00001d028801_T004",5,"Zm00001d028801_T004","26S proteasome regulatory subunit 4 homolog A",NA,"Zm00001d028801"
"Zm00001d043606_T001",5,"Zm00001d043606_T001","40S ribosomal protein S24  ","Cytosolic ribosome","Zm00001d043606"
"Zm00001d021587_T001",5,"Zm00001d021587_T001","Protein FLX-like 1",NA,"Zm00001d021587"
"Zm00001d020580_T001",5,"Zm00001d020580_T001","Histone H2B.1  ",NA,"Zm00001d020580"
"Zm00001d018730_T001",5,"Zm00001d018730_T001","RNA-binding protein 1",NA,"Zm00001d018730"
"Zm00001d005351_T001",5,"Zm00001d005351_T001","Arogenate dehydratase/prephenate dehydratase 6 chloroplastic","Other","Zm00001d005351"
"Zm00001d049416_T001",5,"Zm00001d049416_T001","Polyadenylate-binding protein RBP45C","Other","Zm00001d049416"
"Zm00001d023222_T001",5,"Zm00001d023222_T001","Ubiquitin-activating enzyme E1 2","Other","Zm00001d023222"
"Zm00001d022513_T001",5,"Zm00001d022513_T001","Elongation factor 1-beta 2","Other","Zm00001d022513"
"ZemaCp051.1",5,"ZemaCp051.1","psbH","PhAPGs","ZemaCp051.1"
"Zm00001d043225_T001",5,"Zm00001d043225_T001","Pentatricopeptide repeat-containing protein  mitochondrial","Other","Zm00001d043225"
"Zm00001d013066_T001",5,"Zm00001d013066_T001","Histone H1  ","Other","Zm00001d013066"
"Zm00001d023379_T001",5,"Zm00001d023379_T001"," pyruvate kinase2","Other","Zm00001d023379"
"Zm00001d004171_T001",5,"Zm00001d004171_T001","Transketolase-1 chloroplastic","Other","Zm00001d004171"
"Zm00001d035094_T001",5,"Zm00001d035094_T001","40S ribosomal protein S13-1",NA,"Zm00001d035094"
"Zm00001d021788_T001",5,"Zm00001d021788_T001","Elongation factor 1-alpha  ","Other","Zm00001d021788"
"Zm00001d049966_T001",5,"Zm00001d049966_T001","Protein-L-isoaspartate O-methyltransferase  ","Other","Zm00001d049966"
"Zm00001d016439_T003",5,"Zm00001d016439_T003","26S protease regulatory subunit 8 homolog B","Other","Zm00001d016439"
"Zm00001d038163_T010",5,"Zm00001d038163_T010"," pyruvate orthophosphate dikinase1","Other","Zm00001d038163"
"Zm00001d021730_T001",5,"Zm00001d021730_T001","USP family protein  ","Other","Zm00001d021730"
"Zm00001d037818_T006",5,"Zm00001d037818_T006","phosphoribosylaminoimidazole carboxylase family protein / AIR carboxylase family protein",NA,"Zm00001d037818"
"Zm00001d002006_T002",5,"Zm00001d002006_T002","H(+)-ATPase 5","Other","Zm00001d002006"
"Zm00001d031833_T001",5,"Zm00001d031833_T001","Mitochondrial 2-oxoglutarate/malate carrier protein  ","Other","Zm00001d031833"
"Zm00001d036904_T001",5,"Zm00001d036904_T001"," elongation factor 1-alpha10","Other","Zm00001d036904"
"Zm00001d025617_T001",5,"Zm00001d025617_T001"," general regulatory factor2","Other","Zm00001d025617"
"Zm00001d033647_T001",5,"Zm00001d033647_T001","Tryptophan--tRNA ligase cytoplasmic","Other","Zm00001d033647"
"Zm00001d015956_T001",5,"Zm00001d015956_T001","NAD(P)-binding Rossmann-fold superfamily protein","Other","Zm00001d015956"
"Zm00001d053295_T001",5,"Zm00001d053295_T001","Ubiquitin-conjugating enzyme E2 variant 1C","Other","Zm00001d053295"
"Zm00001d049666_T001",5,"Zm00001d049666_T001"," ribosomal protein13","Other","Zm00001d049666"
"Zm00001d001881_T001",5,"Zm00001d001881_T001","Protein DJ-1 homolog D","Other","Zm00001d001881"
"Zm00001d037045_T022",5,"Zm00001d037045_T022","Haloacid dehalogenase-like hydrolase domain-containing protein 1A isoform 1%3B Haloacid dehalogenase-like hydrolase domain-containing protein 1A isoform 2  ",NA,"Zm00001d037045"
"Zm00001d038218_T001",5,"Zm00001d038218_T001","Cytochrome c-2","Other","Zm00001d038218"
"Zm00001d003014_T001",5,"Zm00001d003014_T001","Small nuclear ribonucleoprotein family protein","Other","Zm00001d003014"
"Zm00001d004651_T001",5,"Zm00001d004651_T001","Zinc finger CCCH domain-containing protein 33","Other","Zm00001d004651"
"Zm00001d044246_T002",5,"Zm00001d044246_T002","Histone H2A  ","Other","Zm00001d044246"
"Zm00001d019467_T001",5,"Zm00001d019467_T001","Spermidine synthase 2","Other","Zm00001d019467"
"Zm00001d025545_T001",5,"Zm00001d025545_T001"," zeaxanthin epoxidase2","Other","Zm00001d025545"
"Zm00001d048360_T001",5,"Zm00001d048360_T001","protein_coding","Other","Zm00001d048360"
"Zm00001d048954_T001",5,"Zm00001d048954_T001","GDP-mannose 3%2C5-epimerase 2 isoform 1%3B GDP-mannose 3%2C5-epimerase 2 isoform 2  ","Other","Zm00001d048954"
"Zm00001d015168_T001",5,"Zm00001d015168_T001","Aspartate--tRNA ligase 2 cytoplasmic","Other","Zm00001d015168"
"Zm00001d015180_T001",5,"Zm00001d015180_T001","Proteasome subunit alpha type-1-B","Other","Zm00001d015180"
"Zm00001d028183_T002",5,"Zm00001d028183_T002","T-complex protein 1 subunit gamma  ","Other","Zm00001d028183"
"Zm00001d018957_T001",5,"Zm00001d018957_T001","60S ribosomal protein L4-1","Cytosolic ribosome","Zm00001d018957"
"Zm00001d017047_T001",5,"Zm00001d017047_T001","60S ribosomal protein L6  ","Cytosolic ribosome","Zm00001d017047"
"Zm00001d010867_T004",5,"Zm00001d010867_T004","Bifunctional protein FolD 2","Other","Zm00001d010867"
"Zm00001d019501_T004",5,"Zm00001d019501_T004","Tetratricopeptide repeat (TPR)-like superfamily protein","Other","Zm00001d019501"
"Zm00001d031640_T001",5,"Zm00001d031640_T001","60S ribosomal protein L7a-1","Cytosolic ribosome","Zm00001d031640"
"Zm00001d006421_T002",5,"Zm00001d006421_T002","protein_coding",NA,"Zm00001d006421"
"Zm00001d045696_T002",5,"Zm00001d045696_T002","Aluminum-activated malate transporter 9",NA,"Zm00001d045696"
"Zm00001d012467_T001",5,"Zm00001d012467_T001","Outer membrane OMP85 family protein","Other","Zm00001d012467"
"Zm00001d033315_T001",5,"Zm00001d033315_T001","B3 domain-containing protein ","Other","Zm00001d033315"
"Zm00001d016105_T001",5,"Zm00001d016105_T001","Abscisic acid receptor PYL9","Other","Zm00001d016105"
"Zm00001d039717_T003",5,"Zm00001d039717_T003","Nucleotide/sugar transporter family protein",NA,"Zm00001d039717"
"Zm00001d018469_T001",5,"Zm00001d018469_T001","Diphthamide biosynthesis protein 1  ","Other","Zm00001d018469"
"Zm00001d026514_T002",5,"Zm00001d026514_T002","Inositol-pentakisphosphate 2-kinase","Other","Zm00001d026514"
"Zm00001d005276_T006",5,"Zm00001d005276_T006","Polyadenylate-binding protein 2",NA,"Zm00001d005276"
"Zm00001d017288_T001",5,"Zm00001d017288_T001","Aquaporin PIP2-4  ","Other","Zm00001d017288"
"Zm00001d002677_T001",5,"Zm00001d002677_T001","protein_coding","Other","Zm00001d002677"
"Zm00001d015231_T001",5,"Zm00001d015231_T001","Glucan endo-1%2C3-beta-glucosidase 6  ","Other","Zm00001d015231"
"Zm00001d011392_T001",5,"Zm00001d011392_T001","Calcium-dependent protein kinase%2C isoform 2%3B Putative calcium-dependent protein kinase family protein isoform 1%3B Putative calcium-dependent protein kinase family protein isoform 2  ","Other","Zm00001d011392"
"Zm00001d006725_T001",5,"Zm00001d006725_T001","Eukaryotic peptide chain release factor subunit 1-2","Other","Zm00001d006725"
"Zm00001d049099_T009",5,"Zm00001d049099_T009"," protein disulfide isomerase1",NA,"Zm00001d049099"
"Zm00001d016452_T047",5,"Zm00001d016452_T047","protein_coding",NA,"Zm00001d016452"
"Zm00001d052700_T001",5,"Zm00001d052700_T001","Ankyrin repeat domain-containing protein 2A","Other","Zm00001d052700"
"Zm00001d010603_T001",5,"Zm00001d010603_T001","PRA1 family protein B4","Other","Zm00001d010603"
"Zm00001d053648_T001",5,"Zm00001d053648_T001","Sec14p-like phosphatidylinositol transfer family protein","Other","Zm00001d053648"
"Zm00001d039613_T002",5,"Zm00001d039613_T002","protein_coding","Other","Zm00001d039613"
"Zm00001d042216_T001",5,"Zm00001d042216_T001","Glutathione S-transferase 3  ","Other","Zm00001d042216"
"Zm00001d010343_T004",5,"Zm00001d010343_T004","alpha/beta-Hydrolases superfamily protein","Other","Zm00001d010343"
"Zm00001d026095_T001",5,"Zm00001d026095_T001","Sugar isomerase (SIS) family protein","Other","Zm00001d026095"
"Zm00001d035543_T003",5,"Zm00001d035543_T003","Glycine-rich protein A3%3B Glycine/proline-rich family protein isoform 1%3B Glycine/proline-rich family protein isoform 2  ",NA,"Zm00001d035543"
"Zm00001d017395_T001",5,"Zm00001d017395_T001","Thylakoid lumenal protein TL20.3 chloroplastic","Other","Zm00001d017395"
"Zm00001d044315_T001",5,"Zm00001d044315_T001","SNF1-related protein kinase regulatory subunit gamma-1-like","Other","Zm00001d044315"
"Zm00001d039518_T001",5,"Zm00001d039518_T001"," eukaryotic initiation factor3","Other","Zm00001d039518"
"Zm00001d008757_T001",5,"Zm00001d008757_T001","Proteasome component (PCI) domain protein","Other","Zm00001d008757"
